Exercise,BodyPart,Experience,Projectible,RepTime,Day,SetTime(avg.),Reps,Sets,MaxWeightSet,CurrentPR,CurrPRDate,GoalPR,ProjPR,Gender,Weight(lbs),Height(in),Age
Dumbbell Bent-over Reverse Fly ,Shoulder,Expert,No,1.006,0,0,0,0,0,0,0,0,0,Male,218.9,90.1,41
Dumbbell Lateral Raise,Shoulder,Beginner,No,0.85,0,0,0,0,0,0,0,0,0,Male,219.9,91.1,42
Dumbbell Shrugs,Shoulder,Moderate,No,0.894,0,0,0,0,0,0,0,0,0,Male,220.9,92.1,43
Kettleball One-Arm Press,Shoulder,Beginner,No,1.006,0,0,0,0,0,0,0,0,0,Male,221.9,93.1,44
Kettleball Raises,Shoulder,Moderate,No,1.172,0,0,0,0,0,0,0,0,0,Male,222.9,94.1,45
Seated Arnold Presses,Shoulder,Moderate,No,0.961,0,0,0,0,0,0,0,0,0,Male,223.9,95.1,46
Seated Barbell Shoulder Press,Shoulder,Beginner,No,0.978,0,0,0,0,0,0,0,0,0,Male,224.9,96.1,47
Seated Dumbbell Shoulder Press,Shoulder,Beginner,Yes,0.896,3,7.168,8,3,25,40,3/16/2023,50,31.25,Male,225.9,97.1,48
Seated One-Arm Dumbbell Shoulder Press,Shoulder,Moderate,No,1.746,0,0,0,0,0,0,0,0,0,Male,226.9,98.1,49
Standing Arnold Presses,Shoulder,Moderate,No,1.054,0,0,0,0,0,0,0,0,0,Male,227.9,99.1,50
Standing Barbell Shoulder Press,Shoulder,Beginner,No,0.989,0,0,0,0,0,0,0,0,0,Male,228.9,100.1,51
Standing Dumbbell Shoulder Press,Shoulder,Beginner,Yes,0.949,3,7.592,8,3,15,25,3/16/2023,30,18.75,Male,229.9,101.1,52
Standing One-Arm Dumbbell Shoulder Press,Shoulder,Moderate,No,1.811,0,0,0,0,0,0,0,0,0,Male,230.9,102.1,53
Back Squat,Legs,Beginner,Yes,2.222,4,17.776,8,3,185,200,3/18/2023,225,231.25,Male,231.9,103.1,54
Barbell Hip Thrusts,Legs,Moderate,No,1.095,0,0,0,0,0,0,0,0,0,Male,232.9,104.1,55
Bulgarian Split Squat,Legs,Moderate,No,2.393,0,0,0,0,0,0,0,0,0,Male,233.9,105.1,56
Dumbbell Bulgarian Split Squat,Legs,Expert,No,2.511,0,0,0,0,0,0,0,0,0,Male,234.9,106.1,57
Front Squat,Legs,Beginner,Yes,1.756,4,14.048,8,3,135,155,3/18/2023,175,168.75,Male,235.9,107.1,58
Goblet Squat,Legs,Beginner,Yes,1.439,4,11.512,8,3,55,80,3/18/2023,70,68.75,Male,236.9,108.1,59
Hack Squat,Legs,Beginner,No,1.803,0,0,0,0,0,0,0,0,0,Male,237.9,109.1,60
Leg Curl,Legs,Moderate,No,2.052,0,0,0,0,0,0,0,0,0,Male,238.9,110.1,61
Lying Leg Curl,Legs,Moderate,No,0.891,0,0,0,0,0,0,0,0,0,Male,239.9,111.1,62
Machine Hip Thrusts,Legs,Moderate,No,0.979,0,0,0,0,0,0,0,0,0,Male,240.9,112.1,63
Machine Leg Extensions,Legs,Beginner,No,1.151,0,0,0,0,0,0,0,0,0,Male,241.9,113.1,64
Machine Leg Press,Legs,Beginner,Yes,1.326,4,10.608,8,3,250,280,3/18/2023,300,312.5,Male,242.9,114.1,65
Reverse Lunges,Legs,Beginner,No,2.258,0,0,0,0,0,0,0,0,0,Male,243.9,115.1,66
Seated Calf Raise,Legs,Beginner,Yes,1.304,4,10.432,8,3,165,185,3/18/2023,220,206.25,Male,244.9,116.1,67
Seated Leg Curl,Legs,Beginner,No,1.227,0,0,0,0,0,0,0,0,0,Male,245.9,117.1,68
Single Leg Deadlift,Legs,Moderate,No,1.114,0,0,0,0,0,0,0,0,0,Male,246.9,118.1,69
Standing Calf Raise,Legs,Moderate,Yes,1.521,4,12.168,8,3,145,170,3/18/2023,200,181.25,Male,247.9,119.1,70
Step-Ups,Legs,Beginner,No,3.54,0,0,0,0,0,0,0,0,0,Male,248.9,120.1,71
Walking Lunges,Legs,Beginner,No,2.489,0,0,0,0,0,0,0,0,0,Male,249.9,121.1,72
Weighted Reverse Lunges,Legs,Beginner,No,1.382,0,0,0,0,0,0,0,0,0,Male,250.9,122.1,73
Weighted Walking Lunges,Legs,Beginner,No,1.587,0,0,0,0,0,0,0,0,0,Male,251.9,123.1,74
Barbell Skullcrushers,Triceps,Beginner,No,1.367,0,0,0,0,0,0,0,0,0,Male,252.9,124.1,75
Dumbbell Skullcrushers,Triceps,Moderate,No,1.413,0,0,0,0,0,0,0,0,0,Male,253.9,125.1,76
Close-Grip Bench Press,Triceps,Moderate,Yes,1.158,2,9.264,8,3,145,155,3/14/2023,200,181.25,Male,254.9,126.1,77
Triceps Dip,Triceps,Beginner ,No,1.613,0,0,0,0,0,0,0,0,0,Male,255.9,127.1,78
Weighted Triceps Dip,Triceps,Moderate,No,1.577,0,0,0,0,0,0,0,0,0,Male,256.9,128.1,79
Triceps Machine Dip,Triceps,Beginner,No,1.176,0,0,0,0,0,0,0,0,0,Male,257.9,129.1,80
Seated Dumbbell Overhead Triceps Extension,Triceps,Beginner,No,1.319,0,0,0,0,0,0,0,0,0,Male,258.9,130.1,81
Standing Dumbbell Overhead Triceps Extension,Triceps,Moderate,No,1.355,0,0,0,0,0,0,0,0,0,Male,259.9,131.1,82
Cable Push-Downs,Triceps,Beginner,No,1.091,0,0,0,0,0,0,0,0,0,Male,260.9,132.1,83
Dumbbell Isolated Triceps Extension,Triceps,Beginner,No,1.187,0,0,0,0,0,0,0,0,0,Male,261.9,133.1,84
Dumbbell Floor Press,Triceps,Beginner,No,0.654,0,0,0,0,0,0,0,0,0,Male,262.9,134.1,85
Standing Dumbbell Curl,Biceps,Beginner,Yes,0.943,3,7.544,8,3,25,30,3/16/2023,40,31.25,Male,263.9,135.1,86
Hammer Curl,Biceps,Beginner,Yes,1.172,3,9.376,8,3,15,25,3/16/2023,35,18.75,Male,264.9,136.1,87
Incline Dumbbell Curl,Biceps,Moderate,No,1.095,0,0,0,0,0,0,0,0,0,Male,265.9,137.1,88
EZ Bar Curl,Biceps,Beginner ,No,1.074,0,0,0,0,0,0,0,0,0,Male,266.9,138.1,89
Concentration Dumbbell Curl,Biceps,Beginner,No,7.137,0,0,0,0,0,0,0,0,0,Male,267.9,139.1,90
Twisting Dumbbell Curl,Biceps,Moderate,No,1.421,0,0,0,0,0,0,0,0,0,Male,268.9,140.1,91
Barbell Curl,Biceps,Beginner,Yes,1.206,3,9.648,8,3,20,25,3/16/2023,40,25,Male,269.9,141.1,92
Cable Rope Hammer Curl,Biceps,Beginner,No,1.047,0,0,0,0,0,0,0,0,0,Male,270.9,142.1,93
Mountain Climbers,Abs,Moderate,No,0.843,0,0,0,0,0,0,0,0,0,Male,271.9,143.1,94
Planks,Abs,Beginner,No,0,0,0,0,0,0,0,0,0,0,Male,272.9,144.1,95
Russian Twists,Abs,Expert,No,0.789,0,0,0,0,0,0,0,0,0,Male,273.9,145.1,96
Side Plank,Abs,Beginner,No,0,0,0,0,0,0,0,0,0,0,Male,274.9,146.1,97
Superman,Abs,Moderate,No,1.514,0,0,0,0,0,0,0,0,0,Male,275.9,147.1,98
Ab Crunches,Abs,Beginner,No,0.96,0,0,0,0,0,0,0,0,0,Male,276.9,148.1,99
Heel Taps,Abs,Beginner,No,0.928,0,0,0,0,0,0,0,0,0,Male,277.9,149.1,100
Machine Ab Crunches,Abs,Beginner,No,1.176,0,0,0,0,0,0,0,0,0,Male,278.9,150.1,101
Machine Torso Track,Abs,Moderate,No,1.186,0,0,0,0,0,0,0,0,0,Male,279.9,151.1,102
Seated Rotation,Abs,Beginner,No,0.871,0,0,0,0,0,0,0,0,0,Male,280.9,152.1,103
Plate Seated Rotation,Abs,Moderate,No,1.062,0,0,0,0,0,0,0,0,0,Male,281.9,153.1,104
Captain's Chair,Abs,Beginner,No,1.144,0,0,0,0,0,0,0,0,0,Male,282.9,154.1,105
